CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,100026104202600001,202600001,2026-05-20,7020,6104,1,1,1,1,1,8002,2026-05-20 04:00:00,2026-05-20 07:00:00,2026-05-20 07:00:00,12.315801,76.654809,"On the night of 20-05-2026, unknown persons broke into a ground-floor residence by breaking the rear window glass while the occupants were away. Gold ornaments and cash were stolen. Suspect identified as Ramesh Gowda. The accused was traced to mobile number +919333883801. A co-offender was contacted on +916513911270. Investigation continuing under night house-breaking provisions."
2,100026103202600001,202600001,2026-05-23,7018,6103,1,1,1,1,1,8002,2026-05-23 22:00:00,2026-05-23 23:00:00,2026-05-23 23:00:00,12.316554,76.654011,"On the night of 23-05-2026, unknown persons broke into a ground-floor residence by breaking the rear window glass while the occupants were away. Gold ornaments and cash were stolen. Suspect identified as Suresh Naik. The accused was traced to mobile number 827 106 0646. A co-offender was contacted on +916513911270. Stolen valuables were later liquidated; a transfer to UPI ID rameshgo@okhdfc was identified. Investigation continuing under night house-breaking provisions."
3,100026101202600001,202600001,2026-05-26,7014,6101,1,1,1,1,1,8002,2026-05-26 02:00:00,2026-05-26 04:00:00,2026-05-26 04:00:00,12.316388,76.657352,"On the night of 26-05-2026, unknown persons broke into a ground-floor residence by breaking the rear window glass while the occupants were away. Gold ornaments and cash were stolen. Suspect identified as ಮಂಜುನಾಥ್. The accused was traced to mobile number +919544157050. A co-offender was contacted on +916513911270. Investigation continuing under night house-breaking provisions."
4,100026104202600002,202600002,2026-05-29,7019,6104,1,1,1,1,1,8002,2026-05-29 04:00:00,2026-05-29 09:00:00,2026-05-29 09:00:00,12.316739,76.653045,"On the night of 29-05-2026, unknown persons broke into a ground-floor residence by breaking the rear window glass while the occupants were away. Gold ornaments and cash were stolen. Suspect identified as Ramesh Gowda. The accused was traced to mobile number 933 388 3801. A co-offender was contacted on +916513911270. Stolen valuables were later liquidated; a transfer to UPI ID rameshgo@okhdfc was identified. Investigation continuing under night house-breaking provisions."
5,100026102202600001,202600001,2026-06-01,7015,6102,1,1,1,1,1,8002,2026-06-01 04:00:00,2026-06-01 08:00:00,2026-06-01 08:00:00,12.313511,76.654151,"On the night of 01-06-2026, unknown persons broke into a ground-floor residence by breaking the rear window glass while the occupants were away. Gold ornaments and cash were stolen. Suspect identified as Suresh Naik. The accused was traced to mobile number +918271060646. A co-offender was contacted on +916513911270. Investigation continuing under night house-breaking provisions."
6,100026102202600002,202600002,2026-06-04,7016,6102,1,1,1,1,1,8002,2026-06-04 05:00:00,2026-06-04 09:00:00,2026-06-04 09:00:00,12.314431,76.653395,"On the night of 04-06-2026, unknown persons broke into a ground-floor residence by breaking the rear window glass while the occupants were away. Gold ornaments and cash were stolen. Suspect identified as ಮಂಜುನಾಥ್. The accused was traced to mobile number 954 415 7050. Investigation continuing under night house-breaking provisions."
7,100026104202600003,202600003,2026-06-07,7019,6104,1,1,1,1,1,8002,2026-06-07 00:00:00,2026-06-07 06:00:00,2026-06-07 06:00:00,12.31374,76.656276,"On the night of 07-06-2026, unknown persons broke into a ground-floor residence by breaking the rear window glass while the occupants were away. Gold ornaments and cash were stolen. Suspect identified as Ramesh Gowda. The accused was traced to mobile number +919333883801. Investigation continuing under night house-breaking provisions."
8,100026101202600002,202600002,2026-06-10,7014,6101,1,1,1,1,1,8002,2026-06-10 23:00:00,2026-06-11 03:00:00,2026-06-11 03:00:00,12.315711,76.655427,"On the night of 10-06-2026, unknown persons broke into a ground-floor residence by breaking the rear window glass while the occupants were away. Gold ornaments and cash were stolen. Suspect identified as Suresh Naik. The accused was traced to mobile number 827 106 0646. Investigation continuing under night house-breaking provisions."
9,100026104202600004,202600004,2026-06-13,7020,6104,1,1,1,1,1,8002,2026-06-13 03:00:00,2026-06-13 06:00:00,2026-06-13 06:00:00,12.31707,76.653433,"On the night of 13-06-2026, unknown persons broke into a ground-floor residence by breaking the rear window glass while the occupants were away. Gold ornaments and cash were stolen. Suspect identified as ಮಂಜುನಾಥ್. The accused was traced to mobile number +919544157050. Investigation continuing under night house-breaking provisions."
10,100026101202600003,202600003,2026-06-16,7014,6101,1,1,1,1,1,8002,2026-06-16 01:00:00,2026-06-16 07:00:00,2026-06-16 07:00:00,12.31607,76.653666,"On the night of 16-06-2026, unknown persons broke into a ground-floor residence by breaking the rear window glass while the occupants were away. Gold ornaments and cash were stolen. Suspect identified as Ramesh Gowda. The accused was traced to mobile number 933 388 3801. Investigation continuing under night house-breaking provisions."
11,100026105202600001,202600001,2026-06-19,7021,6105,1,1,1,1,1,8002,2026-06-19 23:00:00,2026-06-20 03:00:00,2026-06-20 03:00:00,12.316703,76.653632,"On the night of 19-06-2026, unknown persons broke into a ground-floor residence by breaking the rear window glass while the occupants were away. Gold ornaments and cash were stolen. Suspect identified as Suresh Naik. The accused was traced to mobile number +918271060646. Investigation continuing under night house-breaking provisions."
12,100026101202600004,202600004,2026-06-22,7013,6101,1,1,1,1,1,8002,2026-06-22 02:00:00,2026-06-22 08:00:00,2026-06-22 08:00:00,12.313397,76.657213,"On the night of 22-06-2026, unknown persons broke into a ground-floor residence by breaking the rear window glass while the occupants were away. Gold ornaments and cash were stolen. Suspect identified as ಮಂಜುನಾಥ್. The accused was traced to mobile number 954 415 7050. Investigation continuing under night house-breaking provisions."
13,100026104202600005,202600005,2026-06-25,7019,6104,1,1,1,1,1,8002,2026-06-25 04:00:00,2026-06-25 10:00:00,2026-06-25 10:00:00,12.316991,76.653718,"On the night of 25-06-2026, unknown persons broke into a ground-floor residence by breaking the rear window glass while the occupants were away. Gold ornaments and cash were stolen. Suspect identified as Ramesh Gowda. The accused was traced to mobile number +919333883801. Investigation continuing under night house-breaking provisions."
14,100026104202600006,202600006,2026-06-28,7019,6104,1,1,1,1,1,8002,2026-06-28 23:00:00,2026-06-29 04:00:00,2026-06-29 04:00:00,12.315102,76.652941,"On the night of 28-06-2026, unknown persons broke into a ground-floor residence by breaking the rear window glass while the occupants were away. Gold ornaments and cash were stolen. Suspect identified as Suresh Naik. The accused was traced to mobile number 827 106 0646. Investigation continuing under night house-breaking provisions."
15,100016002202600001,202600001,2026-04-01,7003,6002,1,1,1,3,1,8001,2026-04-01 15:00:00,2026-04-01 16:00:00,2026-04-01 16:00:00,13.013274,77.578594,A robbery was reported near a commercial complex. Witnesses noted a white car bearing registration KA-01-XY-4306 leaving the scene at speed. Suspect described matching Prakash Reddy. CCTV footage under examination.
16,100036203202600001,202600001,2025-11-30,7028,6203,1,1,1,1,1,8003,2025-11-30 01:00:00,2025-11-30 03:00:00,2025-11-30 03:00:00,15.824552,74.514312,"A house-breaking was reported. A vehicle seen in the vicinity carried the number KA-01-XY-4306. The same individual, Prakash Reddy, was named by a local informant. Case under investigation."
17,100016005202600001,202600001,2025-10-18,7009,6005,1,2,1,2,1,8001,2025-10-18 14:00:00,2025-10-18 19:00:00,2025-10-18 19:00:00,12.967287,77.575583,"An accused person recorded in station papers as 'ರಾಮಯ್ಯ.ಕೆ' was named in connection with a house theft. The individual, aged about 34, is reported to operate across localities. The suspect was contacted on mobile number +918175702266. A two-wheeler bearing KA-02-AB-9699 was linked to the suspect. Identity verification pending."
18,100026103202600002,202600002,2026-05-06,7018,6103,1,2,1,2,1,8002,2026-05-06 12:00:00,2026-05-06 16:00:00,2026-05-06 16:00:00,12.316259,76.677597,"An accused person recorded in station papers as 'Ramaiah K' was named in connection with a house theft. The individual, aged about 34, is reported to operate across localities. The suspect was contacted on mobile number +918175702266. A two-wheeler bearing KA-02-AB-9699 was linked to the suspect. Identity verification pending."
19,100046303202600001,202600001,2026-06-13,7033,6303,1,2,1,2,1,8004,2026-06-13 16:00:00,2026-06-13 17:00:00,2026-06-13 17:00:00,12.877019,74.820104,"An accused person recorded in station papers as 'ರಾಮು' was named in connection with a house theft. The individual, aged about 34, is reported to operate across localities. The suspect was contacted on mobile number +918175702266. A two-wheeler bearing KA-02-AB-9699 was linked to the suspect. Identity verification pending."
20,100026104202600007,202600007,2025-11-23,7020,6104,1,2,1,2,1,8002,2025-11-23 19:00:00,2025-11-23 21:00:00,2025-11-23 21:00:00,12.299963,76.633513,"A theft complaint was filed at the local market. The named suspect, Ramesh, aged about 34, is a resident of a nearby locality. No prior linkage established. Under enquiry."
